2018-01-15 04:06:23 Unknown item (entry=5262) in creature_equip_template.itemEntry3 for entry = 228, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2714) in creature_equip_template.itemEntry1 for entry = 232, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3367) in creature_equip_template.itemEntry1 for entry = 233, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2557) in creature_equip_template.itemEntry1 for entry = 234, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3351) in creature_equip_template.itemEntry1 for entry = 235, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3367) in creature_equip_template.itemEntry1 for entry = 237, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3361) in creature_equip_template.itemEntry1 for entry = 240, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1906) in creature_equip_template.itemEntry1 for entry = 241, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3367) in creature_equip_template.itemEntry1 for entry = 250, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3757) in creature_equip_template.itemEntry2 for entry = 258, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1899) in creature_equip_template.itemEntry1 for entry = 260, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2179) in creature_equip_template.itemEntry1 for entry = 264, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=13610) in creature_equip_template.itemEntry2 for entry = 264, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=12751) in creature_equip_template.itemEntry1 for entry = 267, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2827) in creature_equip_template.itemEntry1 for entry = 272, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2717) in creature_equip_template.itemEntry1 for entry = 274, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1895) in creature_equip_template.itemEntry1 for entry = 285, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1900) in creature_equip_template.itemEntry1 for entry = 286, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2053) in creature_equip_template.itemEntry2 for entry = 286, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2714) in creature_equip_template.itemEntry2 for entry = 289, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2023) in creature_equip_template.itemEntry1 for entry = 300, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1906) in creature_equip_template.itemEntry1 for entry = 311, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1957) in creature_equip_template.itemEntry2 for entry = 311, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry2 for entry = 315, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 325, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1903) in creature_equip_template.itemEntry1 for entry = 327, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1908) in creature_equip_template.itemEntry1 for entry = 328, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2177) in creature_equip_template.itemEntry1 for entry = 331, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2711) in creature_equip_template.itemEntry1 for entry = 332, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2711) in creature_equip_template.itemEntry2 for entry = 332, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2178) in creature_equip_template.itemEntry1 for entry = 334, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2052) in creature_equip_template.itemEntry2 for entry = 334, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=12937) in creature_equip_template.itemEntry1 for entry = 338, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=12860) in creature_equip_template.itemEntry2 for entry = 340, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 347, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1117) in creature_equip_template.itemEntry1 for entry = 348, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 349, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2052) in creature_equip_template.itemEntry2 for entry = 349, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1901) in creature_equip_template.itemEntry1 for entry = 354, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2558) in creature_equip_template.itemEntry1 for entry = 373, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2202) in creature_equip_template.itemEntry2 for entry = 373, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 375, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2176) in creature_equip_template.itemEntry1 for entry = 376, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1908) in creature_equip_template.itemEntry1 for entry = 377, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2714) in creature_equip_template.itemEntry2 for entry = 381, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1900) in creature_equip_template.itemEntry1 for entry = 382, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2177) in creature_equip_template.itemEntry1 for entry = 397, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2558) in creature_equip_template.itemEntry1 for entry = 415, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1901) in creature_equip_template.itemEntry1 for entry = 423, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 424, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 424, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5491) in creature_equip_template.itemEntry1 for entry = 426, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 429, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1908) in creature_equip_template.itemEntry1 for entry = 430, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5287) in creature_equip_template.itemEntry1 for entry = 431, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2809) in creature_equip_template.itemEntry1 for entry = 432, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1896) in creature_equip_template.itemEntry1 for entry = 433, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1899) in creature_equip_template.itemEntry1 for entry = 435, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1908) in creature_equip_template.itemEntry1 for entry = 436, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2809) in creature_equip_template.itemEntry1 for entry = 437, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1957) in creature_equip_template.itemEntry2 for entry = 437, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 440, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1904) in creature_equip_template.itemEntry1 for entry = 445, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2809) in creature_equip_template.itemEntry1 for entry = 446, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2052) in creature_equip_template.itemEntry2 for entry = 446, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 448, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1908) in creature_equip_template.itemEntry1 for entry = 450, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2711) in creature_equip_template.itemEntry1 for entry = 452, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5277) in creature_equip_template.itemEntry1 for entry = 453, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 456, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 458, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5870) in creature_equip_template.itemEntry3 for entry = 458, forced to 0.
